country_or_region,overall_rank,gdp_per_capita,healthy_life_expectancy,freedom_to_make_life_choices,latitude,longitude
Finland,1,1.34,0.986,0.596,63.2467777,25.9209164
Denmark,2,1.383,0.996,0.592,55.670249,10.3333283
Norway,3,1.488,1.028,0.603,60.5000209,9.0999715
Iceland,4,1.38,1.026,0.591,64.9841821,-18.1059013
Netherlands,5,1.396,0.999,0.557,52.2288689,5.3214503
Switzerland,6,1.452,1.052,0.572,46.7985624,8.2319736
Sweden,7,1.387,1.009,0.574,59.6749712,14.5208584
New Zealand,8,1.303,1.026,0.585,-41.5000831,172.8344077
Canada,9,1.365,1.039,0.584,61.0666922,-107.991707
Austria,10,1.376,1.016,0.532,47.59397,14.12456
Australia,11,1.372,1.036,0.557,-24.7761086,134.755
Costa Rica,12,1.034,0.963,0.558,10.2735633,-84.0739102
Israel,13,1.276,1.029,0.371,31.5313113,34.8667654
Luxembourg,14,1.609,1.012,0.526,49.8158683,6.1296751
United Kingdom,15,1.333,0.996,0.45,54.7023545,-3.2765753
Ireland,16,1.499,0.999,0.516,52.865196,-7.9794599
Germany,17,1.373,0.987,0.495,51.0834196,10.4234469
Belgium,18,1.356,0.986,0.473,50.6402809,4.6667145
United States,19,1.433,0.874,0.454,39.7837304,-100.445882
Czech Republic,20,1.269,0.92,0.457,49.8167003,15.4749544
United Arab Emirates,21,1.503,0.825,0.598,24.0002488,53.9994829
Malta,22,1.3,0.999,0.564,35.8885993,14.4476911
Mexico,23,1.07,0.861,0.433,23.6585116,-102.0077097
France,24,1.324,1.045,0.436,46.603354,1.8883335
Taiwan,25,1.368,0.914,0.351,23.9739374,120.9820179
Chile,26,1.159,0.92,0.357,-31.7613365,-71.3187697
Guatemala,27,0.8,0.746,0.535,15.687100699999998,-90.12265453178017
Saudi Arabia,28,1.403,0.795,0.439,25.6242618,42.3528328
Qatar,29,1.684,0.871,0.555,25.3336984,51.2295295
Spain,30,1.286,1.062,0.362,39.3260685,-4.8379791
Panama,31,1.149,0.91,0.516,8.559559,-81.1308434
Brazil,32,1.004,0.802,0.39,-10.3333333,-53.2
Uruguay,33,1.124,0.891,0.523,-32.8755548,-56.0201525
Singapore,34,1.572,1.141,0.556,1.357107,103.8194992
El Salvador,35,0.794,0.789,0.43,13.8000382,-88.9140683
Italy,36,1.294,1.039,0.231,42.6384261,12.674297
Bahrain,37,1.362,0.871,0.536,26.1551249,50.5344606
Slovakia,38,1.246,0.881,0.334,48.7411522,19.4528646
Trinidad & Tobago,39,1.231,0.713,0.489,10.8677845,-60.9821067
Poland,40,1.206,0.884,0.483,52.215933,19.134422
Uzbekistan,41,0.745,0.756,0.631,41.32373,63.9528098
Lithuania,42,1.238,0.818,0.291,55.3500003,23.7499997
Colombia,43,0.985,0.841,0.47,4.099917,-72.9088133
Slovenia,44,1.258,0.953,0.564,45.8133113,14.4808369
Nicaragua,45,0.694,0.835,0.435,12.6090157,-85.2936911
Kosovo,46,0.882,0.758,0.489,42.5869578,20.9021231
Argentina,47,1.092,0.881,0.471,-34.9964963,-64.9672817
Romania,48,1.162,0.825,0.462,45.9852129,24.6859225
Cyprus,49,1.263,1.042,0.406,34.9823018,33.1451285
Ecuador,50,0.912,0.868,0.498,-1.3397668,-79.3666965
Kuwait,51,1.5,0.808,0.493,29.2733964,47.4979476
Thailand,52,1.05,0.828,0.557,14.8971921,100.83273
Latvia,53,1.187,0.812,0.264,56.8406494,24.7537645
South Korea,54,1.301,1.036,0.159,36.638392,127.6961188
Estonia,55,1.237,0.874,0.495,58.7523778,25.3319078
Jamaica,56,0.831,0.831,0.49,18.1850507,-77.3947693
Mauritius,57,1.12,0.798,0.498,-20.2759451,57.5703566
Japan,58,1.327,1.088,0.445,36.5748441,139.2394179
Honduras,59,0.642,0.828,0.507,15.2572432,-86.0755145
Kazakhstan,60,1.173,0.729,0.41,47.2286086,65.2093197
Bolivia,61,0.776,0.706,0.511,-17.0568696,-64.9912286
Hungary,62,1.201,0.828,0.199,47.1817585,19.5060937
Paraguay,63,0.855,0.777,0.514,-23.3165935,-58.1693445
Northern Cyprus,64,1.263,1.042,0.417,35.2245313,33.6252379
Peru,65,0.96,0.854,0.455,-6.8699697,-75.0458515
Portugal,66,1.221,0.999,0.508,40.0332629,-7.8896263
Pakistan,67,0.677,0.535,0.313,30.3308401,71.247499
Russia,68,1.183,0.726,0.334,64.6863136,97.7453061
Philippines,69,0.807,0.657,0.558,12.7503486,122.7312101
Serbia,70,1.004,0.854,0.282,44.1534121,20.55144
Moldova,71,0.685,0.739,0.245,47.2879608,28.5670941
Libya,72,1.044,0.673,0.416,26.8234472,18.1236723
Montenegro,73,1.051,0.871,0.197,42.9868853,19.5180992
Tajikistan,74,0.493,0.718,0.389,38.6281733,70.8156541
Croatia,75,1.155,0.914,0.296,45.5643442,17.0118954
Hong Kong,76,1.438,1.122,0.44,22.2793278,114.1628131
Dominican Republic,77,1.015,0.779,0.497,19.0974031,-70.3028026
Bosnia and Herzegovina,78,0.945,0.845,0.212,44.3053476,17.5961467
Turkey,79,1.183,0.808,0.195,38.9597594,34.9249653
Malaysia,80,1.221,0.828,0.508,4.5693754,102.2656823
Belarus,81,1.067,0.789,0.235,53.4250605,27.6971358
Greece,82,1.181,0.999,0.067,38.9953683,21.9877132
Mongolia,83,0.948,0.667,0.317,46.8250388,103.8499736
North Macedonia,84,0.983,0.838,0.345,41.6171214,21.7168387
Nigeria,85,0.696,0.245,0.426,9.6000359,7.9999721
Kyrgyzstan,86,0.551,0.723,0.508,41.5089324,74.724091
Turkmenistan,87,1.052,0.657,0.394,39.3763807,59.3924609
Algeria,88,1.002,0.785,0.086,28.0000272,2.9999825
